,County,Month,WindSp,Precip
0,Kern,1,0.642741935483871,0.4494354838709677
1,Kern,2,0.7758928571428572,0.18803571428571428
2,Kern,3,0.8475806451612903,0.20596774193548387
3,Kern,4,0.965,0.03333333333333333
4,Kern,5,0.957258064516129,0.11290322580645161
5,Kern,6,0.84,0.008333333333333333
6,Kern,7,0.8056451612903226,0.0
7,Kern,8,0.7870967741935483,0.0
8,Kern,9,0.9983333333333333,0.03333333333333333
9,Kern,10,1.0524193548387097,0.03225806451612903
10,Kern,11,0.9641666666666667,0.43925000000000003
11,Kern,12,0.9362903225806453,0.11798387096774193
