,County,Month,WindSp,Precip
0,San Joaquin,1,0.2838709677419355,0.18129032258064517
1,San Joaquin,2,0.34857142857142853,0.03357142857142857
2,San Joaquin,3,0.3851612903225807,0.2206451612903226
3,San Joaquin,4,0.5206666666666667,0.06333333333333334
4,San Joaquin,5,0.5787096774193549,0.004516129032258064
5,San Joaquin,6,0.5106666666666667,0.010666666666666668
6,San Joaquin,7,0.4,0.0
7,San Joaquin,8,0.4380645161290323,0.0
8,San Joaquin,9,0.43866666666666665,0.02666666666666667
9,San Joaquin,10,0.292258064516129,0.0
10,San Joaquin,11,0.25666666666666665,0.17733333333333334
11,San Joaquin,12,0.2761290322580645,0.05548387096774193
