,County,Month,WindSp,Precip
0,Los Angeles,1,1.8064516129032258,0.873900293255132
1,Los Angeles,2,1.7113636363636364,0.3525974025974026
2,Los Angeles,3,1.6621700879765395,0.5363636363636364
3,Los Angeles,4,1.8724242424242423,0.05030303030303031
4,Los Angeles,5,1.9299120234604106,0.35835777126099705
5,Los Angeles,6,1.792121212121212,0.04666666666666667
6,Los Angeles,7,1.683284457478006,0.06979472140762463
7,Los Angeles,8,1.5530791788856306,0.01906158357771261
8,Los Angeles,9,1.559090909090909,0.005454545454545455
9,Los Angeles,10,,
10,Los Angeles,11,,
11,Los Angeles,12,1.6533724340175953,0.20821114369501467
