,County,Month,WindSp,Precip
0,San Diego,1,1.6295698924731183,0.5946236559139786
1,San Diego,2,,
2,San Diego,3,,
3,San Diego,4,,
4,San Diego,5,1.9483870967741934,0.22849462365591397
5,San Diego,6,1.7950000000000002,0.0
6,San Diego,7,1.6193548387096774,0.01021505376344086
7,San Diego,8,1.5053763440860215,0.004838709677419355
8,San Diego,9,1.5266666666666668,0.030555555555555555
9,San Diego,10,1.528494623655914,0.3682795698924731
10,San Diego,11,1.376111111111111,0.27555555555555555
11,San Diego,12,1.4666666666666668,0.23870967741935484
